GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Model,test_module,App,7,0,0,0,3,0,2,0,2,0
Model,com.test.test_module,TableHolder,0,15,0,0,0,5,0,4,0,4
